Category: All categories

Week,amazon.com: (United States)
2019-01-06,60
2019-01-13,56
2019-01-20,53
2019-01-27,50
2019-02-03,54
2019-02-10,52
2019-02-17,51
2019-02-24,52
2019-03-03,53
2019-03-10,52
2019-03-17,53
2019-03-24,51
2019-03-31,55
2019-04-07,52
2019-04-14,52
2019-04-21,51
2019-04-28,56
2019-05-05,55
2019-05-12,52
2019-05-19,52
2019-05-26,55
2019-06-02,58
2019-06-09,60
2019-06-16,59
2019-06-23,59
2019-06-30,54
2019-07-07,58
2019-07-14,67
2019-07-21,46
2019-07-28,47
2019-08-04,47
2019-08-11,60
2019-08-18,63
2019-08-25,64
2019-09-01,62
2019-09-08,55
2019-09-15,56
2019-09-22,53
2019-09-29,59
2019-10-06,54
2019-10-13,56
2019-10-20,60
2019-10-27,52
2019-11-03,60
2019-11-10,60
2019-11-17,62
2019-11-24,74
2019-12-01,80
2019-12-08,85
2019-12-15,90
2019-12-22,74
2019-12-29,60
2020-01-05,56
2020-01-12,53
2020-01-19,56
2020-01-26,50
2020-02-02,53
2020-02-09,50
2020-02-16,49
2020-02-23,54
2020-03-01,56
2020-03-08,56
2020-03-15,66
2020-03-22,66
2020-03-29,76
2020-04-05,80
2020-04-12,73
2020-04-19,76
2020-04-26,73
2020-05-03,73
2020-05-10,73
2020-05-17,70
2020-05-24,70
2020-05-31,66
2020-06-07,63
2020-06-14,67
2020-06-21,78
2020-06-28,80
2020-07-05,84
2020-07-12,80
2020-07-19,76
2020-07-26,73
2020-08-02,67
2020-08-09,65
2020-08-16,70
2020-08-23,67
2020-08-30,74
2020-09-06,71
2020-09-13,66
2020-09-20,68
2020-09-27,68
2020-10-04,67
2020-10-11,83
2020-10-18,73
2020-10-25,76
2020-11-01,59
2020-11-08,76
2020-11-15,84
2020-11-22,96
2020-11-29,100
2020-12-06,98
2020-12-13,96
2020-12-20,83
2020-12-27,78
