Week,amazon: (Worldwide)
2019-01-06,65
2019-01-13,60
2019-01-20,59
2019-01-27,58
2019-02-03,58
2019-02-10,57
2019-02-17,56
2019-02-24,56
2019-03-03,57
2019-03-10,55
2019-03-17,54
2019-03-24,55
2019-03-31,56
2019-04-07,57
2019-04-14,56
2019-04-21,58
2019-04-28,59
2019-05-05,57
2019-05-12,59
2019-05-19,58
2019-05-26,59
2019-06-02,58
2019-06-09,61
2019-06-16,58
2019-06-23,58
2019-06-30,60
2019-07-07,61
2019-07-14,81
2019-07-21,61
2019-07-28,59
2019-08-04,61
2019-08-11,61
2019-08-18,73
2019-08-25,65
2019-09-01,60
2019-09-08,61
2019-09-15,62
2019-09-22,65
2019-09-29,70
2019-10-06,63
2019-10-13,66
2019-10-20,67
2019-10-27,66
2019-11-03,70
2019-11-10,74
2019-11-17,80
2019-11-24,99
2019-12-01,96
2019-12-08,91
2019-12-15,88
2019-12-22,79
2019-12-29,74
2020-01-05,68
2020-01-12,66
2020-01-19,68
2020-01-26,64
2020-02-02,64
2020-02-09,62
2020-02-16,66
2020-02-23,66
2020-03-01,67
2020-03-08,66
2020-03-15,77
2020-03-22,80
2020-03-29,83
2020-04-05,86
2020-04-12,87
2020-04-19,88
2020-04-26,85
2020-05-03,84
2020-05-10,83
2020-05-17,84
2020-05-24,83
2020-05-31,81
2020-06-07,80
2020-06-14,77
2020-06-21,77
2020-06-28,76
2020-07-05,78
2020-07-12,76
2020-07-19,78
2020-07-26,76
2020-08-02,79
2020-08-09,73
2020-08-16,73
2020-08-23,75
2020-08-30,74
2020-09-06,71
2020-09-13,72
2020-09-20,72
2020-09-27,72
2020-10-04,72
2020-10-11,89
2020-10-18,80
2020-10-25,74
2020-11-01,75
2020-11-08,88
2020-11-15,90
2020-11-22,100
2020-11-29,95
2020-12-06,94
2020-12-13,92
2020-12-20,83
2020-12-27,85
