Week,amazon antibacterial: (United Kingdom)
2020-01-05,0
2020-01-12,2
2020-01-19,0
2020-01-26,4
2020-02-02,4
2020-02-09,4
2020-02-16,2
2020-02-23,33
2020-03-01,100
2020-03-08,95
2020-03-15,77
2020-03-22,37
2020-03-29,17
2020-04-05,30
2020-04-12,17
2020-04-19,17
2020-04-26,18
2020-05-03,12
2020-05-10,7
2020-05-17,5
2020-05-24,12
2020-05-31,8
2020-06-07,3
2020-06-14,5
2020-06-21,10
2020-06-28,3
2020-07-05,2
2020-07-12,4
2020-07-19,7
2020-07-26,6
2020-08-02,8
2020-08-09,6
2020-08-16,0
2020-08-23,2
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,2
2020-09-27,9
2020-10-04,2
2020-10-11,0
2020-10-18,0
2020-10-25,2
2020-11-01,2
2020-11-08,4
2020-11-15,2
2020-11-22,0
2020-11-29,2
2020-12-06,6
2020-12-13,0
2020-12-20,0
2020-12-27,4
2021-01-03,2
2021-01-10,2
2021-01-17,5
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,2
2021-03-14,2
2021-03-21,6
2021-03-28,2
2021-04-04,4
2021-04-11,2
2021-04-18,0
2021-04-25,2
2021-05-02,0
